"css-146c3p1","css-175oi2r href","css-9pa8cd src","css-175oi2r href 2","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1 2","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-175oi2r href 4","css-9pa8cd src 2","css-175oi2r href 5","css-9pa8cd src 3","css-146c3p1 href 2","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-1jxf684 10","css-1jxf684 11","css-1jxf684 12","css-175oi2r href 6","css-1jxf684 13","css-1jxf684 14","css-1jxf684 href","css-1jxf684 15","css-1jxf684 16","css-1jxf684 17","css-1jxf684 href 2","css-1jxf684 18","css-1jxf684 19","css-9pa8cd src 4","css-175oi2r href 7","css-9pa8cd src 5","css-175oi2r href 8","css-9pa8cd src 6","r-1p0dtai src","css-1jxf684 20","css-1jxf684 href 3"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1931992349577494926","Jun 9","Ni gute wamenya ko mubazi (CashPower) yawe atari inyibano?","Kuba warayisabye ku Ishami rya REG ubarizwamo ukuzuza ibisabwa.","Show more","https://x.com/reg_rwanda/status/1931992349577494926/photo/1","https://pbs.twimg.com/media/Gs_NyPPWQAAt_34?format=jpg&name=small","","","https://x.com/reg_rwanda/status/1931992349577494926/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","Mu gihe ukodesha, uwo ukodeshaho ni we mubazi iba","21","16","59","https://x.com/reg_rwanda/status/1931992349577494926/analytics","12K","","","","","","","Kuba yanditse mu myirondoro yawe ndetse wajya kugura umuriro ikagaragaza amazina yawe.","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1931697542540009912","Jun 8","REG WBBC yatsinze APR WBBC ishimangira kuzasoza Shampiyona ku mwamya wa mbere

Inkuru irambuye","","ball/article/reg-wbbc-yatsinze-apr-wbbc-ishamangira-kuzasoza-shampiyona-ku-mwamya-wa-mbere","https://x.com/reg_rwanda/status/1931697542540009912/photo/1","https://pbs.twimg.com/media/Gs7EZX5WIAAU_5f?format=jpg&name=small","https://x.com/reg_rwanda/status/1931697542540009912/photo/2","","","","","","4","2","10","https://x.com/reg_rwanda/status/1931697542540009912/analytics","2.8K","igihe.com/imikino/basket","https://t.co/HsczCxjuRR","…","https://","","","","","https://pbs.twimg.com/media/Gs7EcfYXkAASs3g?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1931697542540009912/photo/3","https://pbs.twimg.com/media/Gs7EcfaWgAAA-GN?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1931697542540009912/photo/4","https://pbs.twimg.com/media/Gs7EcflW8AAxUAI?format=jpg&name=small","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1931645292526350590","Jun 8","Tariki za 8 Kamena 2025, guhera mu masaha ya saa tanu kugeza saa cyenda, hateganyijwe ibura ry'umuriro mu Mirenge ya",",","Show more","https://x.com/reg_rwanda/status/1931645292526350590/photo/1","https://pbs.twimg.com/media/Gs6VJ7OXYAALkrw?format=jpg&name=small","https://x.com/reg_rwanda/status/1931645292526350590/photo/2","https://pbs.twimg.com/media/Gs6VJ-LWsAAmbtd?format=jpg&name=small","https://x.com/reg_rwanda/status/1931645292526350590/media_tags","#Nkungu","#Giheke",",","4","2","10","https://x.com/reg_rwanda/status/1931645292526350590/analytics","3.1K","#IburaRyUmuriro","https://x.com/hashtag/IburaRyUmuriro?src=hashtag_click",",","#Nkanka","#Nkombo","https://x.com/RusiziDistrict",",","@RusiziDistrict","","","","","","","#Gihundwe","https://x.com/hashtag/Gihundwe?src=hashtag_click"
"Jun 8","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1931602970627436935","Jun 8","Dear customers, there is a technical problem causing the power outage near Bigega/ Gatsata Sector in Nyamugari Cell. We are doing our best to solve the issue.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","2","4","","https://x.com/reg_rwanda/status/1931602970627436935/analytics","1.8K","","","·","#UmuriroWabuze","Bitewe n'ikibazo tekinike, abaturage bo ku Bigega mu Murenge wa Gatsata mu Kagari ka Nyamugari nta muriro bafite. Itsinda ryacu ririmo gukora ibishoboka byose ngo umuriro ugaruke vuba. Murakoze","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1931601780862775358","Jun 8","Bitewe n'ikibazo tekinike, abaturage bo ku Bigega mu Murenge wa Gatsata mu Kagari ka Nyamugari nta muriro bafite. Itsinda ryacu ririmo gukora ibishoboka byose ngo umuriro ugaruke vuba. Murakoze","","","","","","","","","","","5","1","5","https://x.com/reg_rwanda/status/1931601780862775358/analytics","3.7K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/ferwabaRW","https://pbs.twimg.com/profile_images/1522282878834511873/fTQ_G9y8_bigger.jpg","https://x.com/ferwabaRW","FERWABA","@ferwabaRW","·","https://x.com/ferwabaRW/status/1931028410337300857","Jun 6","REG BBC is on a mission!","With the #2 spot locked in, they’re charging full speed into the","","https://x.com/ferwabaRW/status/1931028410337300857/photo/1","https://pbs.twimg.com/media/GsxkAP_WwAEKftj?format=jpg&name=small","","","https://x.com/ferwabaRW/status/1931028410337300857/media_tags","and 2 others","REG BASKETBALL CLUB","","3","6","73","https://x.com/ferwabaRW/status/1931028410337300857/analytics","4.1K","#betPawaPlayoffs","https://x.com/hashtag/betPawaPlayoffs?src=hashtag_click","Only 2 spots remain…
Which teams will rise, and which will fall?","reposted","Rwanda Energy Group","","!  Eyes on the prize.","","","","","","","","#RBL25","https://x.com/hashtag/RBL25?src=hashtag_click"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930907341286736263","Jun 6","Dutemberane mu Murenge wa Cyato mu Karere ka","ahari kubakwa urugomero rw'amashanyarazi rwa Nyirahindwe ya Mbere

Ni urugomero ruri kubakwa ku bufatanye bwa Leta n'abikorera (HYDRONEO-DNG Rwanda) rugeze ku gipimo cya 70%. Igihe ruzaba rwuzuye ruzatanga Mgwt 0.909 akaba","Show more","","https://pbs.twimg.com/amplify_video_thumb/1930904731938906112/img/vH8lfHBJghlxKzae.jpg","https://x.com/reg_rwanda/status/1930907341286736263/photo/2","","https://x.com/reg_rwanda/status/1930907341286736263/media_tags","","","","7","20","75","https://x.com/reg_rwanda/status/1930907341286736263/analytics","11K","","","","","","https://x.com/Nyamasheke","","@Nyamasheke","https://pbs.twimg.com/media/Gsvzs7tW4AAg2am?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1930907341286736263/photo/3","https://pbs.twimg.com/media/Gsvzv9-WcAAKCXN?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1930907341286736263/photo/4","https://pbs.twimg.com/media/Gsvzv-FWYAAZYpW?format=jpg&name=360x360","blob:https://x.com/3a800ebb-0b7e-43ac-9b50-5c22baeeb0e2","",""
"","https://x.com/RwandaInfra","https://pbs.twimg.com/profile_images/1247413088875356164/CWheZj8D_bigger.jpg","https://x.com/RwandaInfra","Ministry of Infrastructure | Rwanda","@RwandaInfra","·","https://x.com/RwandaInfra/status/1930605674213360035","Jun 5","Today, the Government of Rwanda officially received the completed Rusizi II One Stop Border Post facility. This facility plays a pivotal role in facilitating cross-border socio-economic activities between Rwanda and the Democratic Republic of Congo. 1/4","","","https://x.com/RwandaInfra/status/1930605674213360035/photo/1","https://pbs.twimg.com/media/GsrglFwXoAAPgT6?format=jpg&name=360x360","https://x.com/RwandaInfra/status/1930605674213360035/photo/2","","https://x.com/RwandaInfra/status/1930605674213360035/media_tags","and 5 others","Immigration | Rwanda","","5","73","305","https://x.com/RwandaInfra/status/1930605674213360035/analytics","33K","","","","reposted","Rwanda Energy Group","","","","https://pbs.twimg.com/media/GsrgvFRXMAAsh0D?format=jpg&name=360x360","https://x.com/RwandaInfra/status/1930605674213360035/photo/3","https://pbs.twimg.com/media/GsrgvFWXQAEUVrz?format=jpg&name=360x360","https://x.com/RwandaInfra/status/1930605674213360035/photo/4","https://pbs.twimg.com/media/GsrgvFUWUAAQJwI?format=jpg&name=360x360","","",""
"Jun 5","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930538018571428022","Jun 5","1. Iyo umuntu asabye cashpower yaciye mu nzira zateganyijwe kandi yujuje ibisabwa, kubona cashpower ntibitinda.
2.Iyo usabye cashpower bwa mbere (new connection) uri mu bipimo byagenwe, uhabwa cashpower n'ibindi byose bijyanye na yo (insinga).

Ikindi gihe cyose usabye cashpower","@reg_rwanda","Show more","","","","https://pbs.twimg.com/profile_images/1523182606635970563/Lf2kNoX9_normal.jpg","","Quote","Ahishakiye janvier","@Ahishakiyejanv2","6","4","@RwandaInfra","https://x.com/reg_rwanda/status/1930538018571428022/analytics","2.3K","","","·","","Murakoze kuri Aya makuru.
Mfite utubazo:
1.Kuki cash power zitinda kuboneka
2. Kuki mutagitanga cash power n'urusinga?","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930907341286736263","Jun 6","Dutemberane mu Murenge wa Cyato mu Karere ka","ahari kubakwa urugomero rw'amashanyarazi rwa Nyirahindwe ya Mbere

Ni urugomero ruri kubakwa ku bufatanye bwa Leta n'abikorera (HYDRONEO-DNG Rwanda) rugeze ku gipimo cya 70%. Igihe ruzaba rwuzuye ruzatanga Mgwt 0.909 akaba","Show more","","","https://x.com/reg_rwanda/status/1930907341286736263/photo/2","","https://x.com/reg_rwanda/status/1930907341286736263/media_tags","","","","7","20","75","https://x.com/reg_rwanda/status/1930907341286736263/analytics","11K","1:20","","","","","https://x.com/Nyamasheke","","@Nyamasheke","https://pbs.twimg.com/media/Gsvzs7tW4AAg2am?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1930907341286736263/photo/3","https://pbs.twimg.com/media/Gsvzv9-WcAAKCXN?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1930907341286736263/photo/4","https://pbs.twimg.com/media/Gsvzv-FWYAAZYpW?format=jpg&name=360x360","blob:https://x.com/3a800ebb-0b7e-43ac-9b50-5c22baeeb0e2","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930518035682525497","Jun 5","On 12th June, 2025 there is a planned power outage in some parts of","","Show more","https://x.com/reg_rwanda/status/1930518035682525497/photo/1","https://pbs.twimg.com/media/GsqT6lTXUAAZm4o?format=png&name=small","https://x.com/reg_rwanda/status/1930518035682525497/photo/2","https://pbs.twimg.com/media/GsqT6mAWEAAWlPo?format=png&name=small","","","",".
Please plan accordingly to avoid interruption.","4","5","","https://x.com/reg_rwanda/status/1930518035682525497/analytics","1.9K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","Tariki ya 12/06/2025 hateganyijwe ibura ry'umuriro mu bice","","","https://x.com/KicukiroDistr","&","@KicukiroDistr","","","","","","","@Nyamagabe","https://x.com/Nyamagabe"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930517252278730769","Jun 5","On 13th June, 2025 there is a planned power outage in some parts of","&","Show more","","","","","","","","Tariki ya 13/06/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","1","3","","https://x.com/reg_rwanda/status/1930517252278730769/analytics","1.2K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","","","https://x.com/KicukiroDistr",".
Please plan accordingly to avoid interruption.","@KicukiroDistr","","","","","","","@GasaboDistrict","https://x.com/GasaboDistrict"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930907341286736263","Jun 6","Dutemberane mu Murenge wa Cyato mu Karere ka","ahari kubakwa urugomero rw'amashanyarazi rwa Nyirahindwe ya Mbere

Ni urugomero ruri kubakwa ku bufatanye bwa Leta n'abikorera (HYDRONEO-DNG Rwanda) rugeze ku gipimo cya 70%. Igihe ruzaba rwuzuye ruzatanga Mgwt 0.909 akaba","Show more","","","https://x.com/reg_rwanda/status/1930907341286736263/photo/2","","https://x.com/reg_rwanda/status/1930907341286736263/media_tags","","","","7","20","75","https://x.com/reg_rwanda/status/1930907341286736263/analytics","11K","1:18","","","","","https://x.com/Nyamasheke","","@Nyamasheke","https://pbs.twimg.com/media/Gsvzs7tW4AAg2am?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1930907341286736263/photo/3","https://pbs.twimg.com/media/Gsvzv9-WcAAKCXN?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1930907341286736263/photo/4","https://pbs.twimg.com/media/Gsvzv-FWYAAZYpW?format=jpg&name=360x360","blob:https://x.com/3a800ebb-0b7e-43ac-9b50-5c22baeeb0e2","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930516335651381349","Jun 5","On 10th June, 2025 there is a planned power outage in some parts of","&","Show more","https://x.com/reg_rwanda/status/1930516335651381349/photo/1","https://pbs.twimg.com/media/GsqSWZIXsAALmkK?format=png&name=small","https://x.com/reg_rwanda/status/1930516335651381349/photo/2","https://pbs.twimg.com/media/GsqSWZEWkAA4Hmm?format=png&name=small","","","","Tariki ya 10/06/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","2","1","8","https://x.com/reg_rwanda/status/1930516335651381349/analytics","2.1K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","","","https://x.com/KicukiroDistr",".
Please plan accordingly to avoid interruption.","@KicukiroDistr","","","","","","","@RwamaganaDistr","https://x.com/RwamaganaDistr"
"Jun 4","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930349845237379538","Jun 4","REG women, we wish you to keep the momentum","x.com/ferwabaRW/stat…","","https://x.com/ferwabaRW/status/1930335006116692479/photo/1","https://pbs.twimg.com/media/Gsntck_WcAA-ZkW?format=jpg&name=small","https://x.com/ferwabaRW/status/1930335006116692479/photo/2","https://pbs.twimg.com/profile_images/1522282878834511873/fTQ_G9y8_normal.jpg","","Quote","FERWABA","@ferwabaRW","7","","","https://x.com/reg_rwanda/status/1930349845237379538/analytics","2K","","","·","#RBL25","REG W is on fire this year! Still undefeated and showing no signs of slowing down!","","","","https://pbs.twimg.com/media/GsntclCX0AA5J5E?format=jpg&name=small","https://x.com/ferwabaRW/status/1930335006116692479/photo/3","https://pbs.twimg.com/media/GsntclHXAAMegkk?format=jpg&name=small","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930323010818298001","Jun 4","Bakiriya bacu,
Tugize ikibazo tekiniki gitumye uduce tumwe tubura umuriro. Turimo gukora ibishoboka byose ngo ugaruke vuba. Mutwihanganire. Murakoze","","","","","","","","","","","21","1","28","https://x.com/reg_rwanda/status/1930323010818298001/analytics","6.5K","","","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930322715895849002","Jun 4","Dear esteemed customers,

There is a technical problem causing power cuts in some areas. We are doing everything possible to restore power as soon as possible. Please bear with us. Thank you.","","","","","","","","","","","2","2","9","https://x.com/reg_rwanda/status/1930322715895849002/analytics","3K","","","","","","","","","","","","","","","",""
"Jun 4","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930227187908489320","Jun 4","Bakiriya bacu,

Tugize ikibazo tekinike gitumye ibice bimwe bibura umuriro. Turimo gukora ibishoboka byose ngo umuriro ugaruke vuba. Mutwihanganire. Murakoze.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","24","8","45","https://x.com/reg_rwanda/status/1930227187908489320/analytics","13K","","","·","","Dear Customers,

We are currently experiencing a technical issue that is affecting power supply in some areas. Our team is working diligently to restore service as quickly as possible. We sincerely apologize for the inconvenience. Thank you.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930226775625191607","Jun 4","Dear Customers,

We are currently experiencing a technical issue that is affecting power supply in some areas. Our team is working diligently to restore service as quickly as possible. We sincerely apologize for the inconvenience. Thank you.","","","","","","","","","","","9","2","8","https://x.com/reg_rwanda/status/1930226775625191607/analytics","16K","","","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1930169594804670530","Jun 4","Muraho!
 Ese wari uzi ko cashpower (mubazi) atari umutungo w'umuntu ku giti cye?","Iyo inzu isenywe cyangwa ukaba ugiye kwimuka ntabwo uyimukana kuko amakuru yayo aba ahujwe n'ikibanza bayitanzemo.","Show more","https://x.com/reg_rwanda/status/1930169594804670530/photo/1","https://pbs.twimg.com/media/GslUD0nWwAAJBQC?format=jpg&name=small","","","https://x.com/reg_rwanda/status/1930169594804670530/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","","60","30","105","https://x.com/reg_rwanda/status/1930169594804670530/analytics","26K","","","","","","","Icyo ukora, ni ukwegera abakozi ba REG bakayisubirana, wazongera kuyikenera","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1929921882645549348","Jun 3","Murenge wa Kanombe, Akagari ka Kabeza na Rubirizi , habaye ikibazo cya tekinike. Turimo gukora ibishoboka byose ngo kigikemuke vuba.  Murakoze","","","","","","","","","","","2","1","2","https://x.com/reg_rwanda/status/1929921882645549348/analytics","2.7K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","","","","","","","","","","","","","",""
"Jun 3","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1929919519314587768","Jun 3","We're experiencing a technical issue in Kanombe Sector (Kabeza & Rubirizi Cells). We are doing everything possible to resolve it quickly. We apologize for the inconvenience. Thank you for your understanding.","","#UmurirowabuzeMu","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","1","","","https://x.com/reg_rwanda/status/1929919519314587768/analytics","1.6K","#poweroutageIn","https://x.com/hashtag/poweroutageIn?src=hashtag_click","·","Murenge wa Kanombe, Akagari ka Kabeza na Rubirizi , habaye ikibazo cya tekinike. Turimo gukora ibishoboka byose ngo kigikemuke vuba.  Murakoze","There’s a new version of this post","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1929510224177549571","Jun 2","Twasuye sub-station (ihuriro ry'amashanyarazi) rya Bwishyura, ririmo kubakwa mu Karere ka","rikazafasha mu kugeza amashanyarazi hirya no hino mu gihugu ku kigero cyo hejuru hatabayeho kuyatakaza mu nzira. 

Byitezwe ko imirimo yo kubaka iri huriro ry'amashanyarazi rya","Show more","https://x.com/reg_rwanda/status/1929510224177549571/photo/1","https://pbs.twimg.com/media/Gsb2DQfWMAA9-WH?format=jpg&name=small","https://x.com/reg_rwanda/status/1929510224177549571/photo/2","https://pbs.twimg.com/amplify_video_thumb/1929500107994451968/img/5HgIWkl_A2QK9Csb.jpg","https://x.com/reg_rwanda/status/1929510224177549571/media_tags","and","Ministry of Infrastructure | Rwanda","Rwanda Utilities Regulatory Authority - RURA","1","8","21","https://x.com/reg_rwanda/status/1929510224177549571/analytics","3.2K","","","","","","https://x.com/KarongiDistr","","@KarongiDistr","https://pbs.twimg.com/media/Gsb2EqbW4AA-R4m?format=jpg&name=360x360","","","","","blob:https://x.com/3afb43b5-80dc-43e7-9bd2-70b3c2c7bef8","",""
"Jun 1","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1929089082883272760","Jun 1","In Nyarugunga Sector, Kamashashi Cell (villages of Mukoni, Indatwa, and Kibaya), a technical issue has occurred. We are doing everything possible to resolve it quickly. We apologize for the inconvenience. Thank you for your understanding.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","3","1","","https://x.com/reg_rwanda/status/1929089082883272760/analytics","2.3K","#poweroutage","https://x.com/hashtag/poweroutage?src=hashtag_click","·","#Umurirowabuze","Mu Murenge wa Nyarugunga, Akagari ka Kamashashi (imidugudu ya Mukoni, Indatwa na Kibaya), habaye ikibazo cya tekinike. Turimo gukora ibishoboka byose ngo kigikemuke vuba.
 Murakoze","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1929510224177549571","Jun 2","Twasuye sub-station (ihuriro ry'amashanyarazi) rya Bwishyura, ririmo kubakwa mu Karere ka","rikazafasha mu kugeza amashanyarazi hirya no hino mu gihugu ku kigero cyo hejuru hatabayeho kuyatakaza mu nzira. 

Byitezwe ko imirimo yo kubaka iri huriro ry'amashanyarazi rya","Show more","https://x.com/reg_rwanda/status/1929510224177549571/photo/1","https://pbs.twimg.com/media/Gsb2DQfWMAA9-WH?format=jpg&name=small","https://x.com/reg_rwanda/status/1929510224177549571/photo/2","","https://x.com/reg_rwanda/status/1929510224177549571/media_tags","and","Ministry of Infrastructure | Rwanda","Rwanda Utilities Regulatory Authority - RURA","1","8","21","https://x.com/reg_rwanda/status/1929510224177549571/analytics","3.2K","2:52","","","","","https://x.com/KarongiDistr","","@KarongiDistr","https://pbs.twimg.com/media/Gsb2EqbW4AA-R4m?format=jpg&name=360x360","","","","","blob:https://x.com/3afb43b5-80dc-43e7-9bd2-70b3c2c7bef8","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1929088538680648029","Jun 1","Mu Murenge wa Nyarugunga, Akagari ka Kamashashi (imidugudu ya Mukoni, Indatwa na Kibaya), habaye ikibazo cya tekinike. Turimo gukora ibishoboka byose ngo kigikemuke vuba.
 Murakoze","","","","","","","","","","","2","2","4","https://x.com/reg_rwanda/status/1929088538680648029/analytics","4.7K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1924837714278408382","May 20","Muraho neza!

Sosiyete y'u Rwanda Ishinzwe Ingufu REG, irakwibutsa uburyo bunyuranye wakoresha ugura umuriro:","Wakoresha USSD code","","https://x.com/reg_rwanda/status/1924837714278408382/photo/1","https://pbs.twimg.com/media/GrZbViNW0AASqJs?format=jpg&name=small","https://x.com/reg_rwanda/status/1924837714278408382/photo/2","https://pbs.twimg.com/media/GrZbzVZWkAAfthY?format=jpg&name=small","https://x.com/reg_rwanda/status/1924837714278408382/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","Wajya ku biro by'iposita","25","35","137","https://x.com/reg_rwanda/status/1924837714278408382/analytics","26K","","","Cyangwa se ugakoresha 'application'.

Ku bindi bisobanuro, hamagara 2727","reposted","Rwanda Energy Group","","Wagura ukoresheje banki","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925823391723880625","May 23","On 31st May 2025 there is a planned power outage in some parts of",".
Please plan accordingly to avoid interruption.","","https://x.com/reg_rwanda/status/1925823391723880625/photo/1","https://pbs.twimg.com/media/GrnmKOMXkAAgn-T?format=png&name=small","https://x.com/reg_rwanda/status/1925823391723880625/photo/2","https://pbs.twimg.com/media/GrnmKObXMAIbU1O?format=png&name=small","","","",".
Murakoze.","3","1","1","https://x.com/reg_rwanda/status/1925823391723880625/analytics","2.6K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","reposted","Rwanda Energy Group","https://x.com/Muhangadis","Tariki ya 31/05/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","@Muhangadis","","","","","","","@Muhangadis","https://x.com/Muhangadis"
